Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
11/06/2012,22:30:00,0.750631192,2.884676952,4.836942846,0.287063878,1.585954814,1.31326817,0.239552725,0.104592639,0.116602708,1.424680173,0.624267707
11/06/2012,23:00:00,6.971379345,3.627699803,5.005851961,0.19396208,0.984898768,0.67376367,0.218560992,0.115602391,0.175964087,1.262132771,0.737770926
11/06/2012,23:30:00,7.6184752,3.27804199,4.744810601,0.236633737,0.782563069,0.902158134,0.200038874,0.079270211,0.099642314,0.77927137,0.559408724
11/07/2012,00:00:00,1.052609257,5.157452732,2.241884621,0.26766767,0.791489644,0.787960902,0.107428284,0.040736081,0.11236261,0.592819938,0.421583386
11/07/2012,00:30:00,1.967171399,1.835703515,3.977041895,0.221116771,0.800416219,1.34752734,0.187690795,0.080371186,0.091162117,0.702778475,0.551301351
11/07/2012,01:00:00,1.846380173,1.835703515,2.533636729,0.378226055,0.574276321,0.970676473,0.211152144,0.033029254,0.154763594,0.592819938,0.632375079
11/07/2012,01:30:00,1.276935821,2.185361327,2.011554009,0.289003499,0.67544417,1.370366786,0.217326184,0.052846807,0.084801969,0.616723967,0.583730842
11/07/2012,02:00:00,2.243265631,2.360190233,1.735157275,0.1959017,0.68139522,1.02777509,0.162994638,0.056149733,0.122962856,0.57847752,0.608052961
11/07/2012,02:30:00,1.518518273,2.447604686,1.873355642,0.277365774,0.526667921,0.99351592,0.132124441,0.031928279,0.106002462,0.368122058,0.608052961
11/07/2012,03:00:00,1.803240449,2.27277578,2.548992103,0.250211083,0.827195944,0.719442563,0.174107908,0.067159484,0.097522265,0.521107848,0.583730842
11/07/2012,03:30:00,8.084384215,1.791996288,2.410793736,0.153230043,0.559398696,1.210490661,0.119776363,0.039635105,0.122962856,0.358560446,0.624267707
11/07/2012,04:00:00,6.168980484,2.010532421,1.873355642,0.246331841,0.66354207,1.164811768,0.176577524,0.031928279,0.076321773,0.478080595,0.543193978
11/07/2012,04:30:00,1.173400484,1.748289062,1.796578771,0.31615819,0.726028095,0.890738411,0.12101117,0.07486631,0.13992325,0.439834147,1.572830326
11/07/2012,05:00:00,6.738424837,4.67667324,1.765868023,0.304520465,1.151528167,1.450304849,0.164229446,0.031928279,0.061481428,0.392026088,0.875596264
